"","AY111","AY125","AY126","AY129","AY138","AY142","AY159","AY191","AY198","AY207","AY208","AY218","AY224","AY236","AY24","AY241","AY244","AY245","AY254","AY263","AY268","AY284","AY289","AY29","AY293","AY300","AY309","AY328","AY331","AY339","AY353","AY365","AY37","AY381","AY389","AY409","AY410","AY416","AY418","AY432","AY438","AY439","AY456","AY457","AY458","AY459","AY46","AY465","AY466","AY487","AY489","AY492","AY493","AY495","AY528","AY533","AY536","AY537","AY538","AY545","AY553","AY562","AY566","AY571","AY572","AY574","AY586","AY595","AY601"
"H-rep1",NA,NA,17.4,NA,16.02,14.39,NA,9.2,13.36,15.86,NA,9.52,12.39,9.2,7.5,9.09,10,9.29,11.57,7.03,15.18,13.89,8.05,NA,6.82,6.83,6.72,14.22,8.87,NA,14.1,9.26,8.73,16.66,NA,9.42,8.21,11.23,12.51,NA,20.53,NA,NA,NA,NA,8.12,5.51,NA,15.72,9.4,9.6,12.69,10.95,NA,NA,7.51,7.58,14.11,8.29,NA,4.18,NA,12.37,12.81,6.99,9.13,NA,12.17,21.96
"H-rep2",NA,NA,12.47,NA,18.53,13.4,NA,9.13,14.11,14.92,16.53,9,13.1,8.73,7.44,8.93,9.71,8.53,11.07,6.65,NA,NA,7.81,NA,6.14,6.5,6.52,13.45,8.55,NA,14.08,8.49,8.22,14.27,NA,10.23,8.34,9.95,10.37,NA,15.86,NA,NA,NA,NA,7.6,4.97,NA,NA,8.87,9.37,11.97,10.04,NA,NA,7.17,7.5,10.97,7.99,NA,3.96,11.12,12.21,12.06,6.94,8.47,NA,12.36,19.97
"H-rep3",NA,NA,13.87,NA,NA,18.18,NA,8,11.56,15.05,19.85,9.09,12.62,9.11,7.38,8.73,10.08,8.95,11.47,6.65,15.43,13.75,8.01,NA,6.43,6.58,6.49,13.13,8.22,NA,NA,9.03,7.86,16.6,NA,9.48,8,8.94,10.75,NA,NA,NA,NA,NA,NA,7.74,5.21,NA,16.54,8.74,9.17,12.32,9.97,NA,NA,7.21,8.02,11.38,8.91,NA,3.8,11.77,11.83,NA,7.32,8.67,NA,NA,NA
"I-rep1",NA,16.02,15.34,20.8,NA,18.6,NA,8.99,12.68,19.82,19.04,8.99,NA,8.37,7.09,9.97,9.62,8.7,10.83,6.88,NA,14.68,7.51,NA,6.66,6.47,6.76,12.32,8.5,NA,14.57,8.89,8.06,15.91,14.67,8.83,8.02,10.44,10.08,19.56,NA,NA,NA,NA,14.19,8.53,5.54,NA,16.14,8.81,9.04,11.46,10.56,14.28,NA,7.32,7.63,12.32,8.54,15.28,4.37,13.55,12.01,NA,6.55,9.44,NA,NA,NA
"I-rep2",NA,15.97,NA,18.52,NA,17.62,NA,8.87,11.72,19.3,NA,8.89,NA,8.44,7.15,9.04,9.97,8.75,11.21,6.91,NA,13.23,7.25,NA,6.49,6.51,6.62,12.87,8.11,NA,14.37,8.77,7.7,NA,NA,8.86,8.13,10.53,10.17,NA,NA,NA,NA,NA,14.12,8.71,5.59,NA,17.25,8.47,9.02,11.03,10.58,14.13,NA,7.58,7.5,11.79,8.73,16.39,4.56,13.09,11.33,NA,6.78,9.58,NA,NA,NA
"I-rep3",NA,15.74,15.27,NA,NA,NA,NA,9.4,11.83,20.31,19.42,8.99,NA,8.65,7.28,9.77,9.98,8.78,11.57,6.82,NA,13.89,7.72,NA,6.45,6.63,6.63,16.86,8.37,NA,NA,8.72,8.46,19.6,15.14,8.78,7.95,10.47,11.35,17.55,NA,NA,NA,NA,19.86,9.16,5.61,NA,NA,8.48,9.38,12.78,10.59,NA,NA,7.84,7.67,12.15,8.73,NA,4.49,12.68,11.74,NA,6.8,9.45,NA,NA,NA
"J-rep1",9.56,NA,NA,NA,18.48,16.62,NA,8.85,11.63,NA,NA,9.45,14.87,9.33,7.39,8.84,10.66,9.14,11.06,6.87,14.02,NA,8.1,14.6,7.27,6.69,6.66,12.83,8.86,NA,17.21,8.81,8.3,NA,NA,9.28,8.51,10.39,11.65,NA,NA,13.21,NA,13.18,14.73,7.74,5.51,NA,18.02,9.31,9.54,12.36,11.07,NA,NA,7.92,8.05,12.8,8.88,NA,3.42,12.67,12.57,NA,7.02,9.43,NA,NA,NA
"J-rep2",9.53,NA,NA,NA,NA,NA,NA,9.65,11.92,NA,NA,9.34,NA,8.94,7.28,8.5,10.44,9.31,11.09,6.85,13.13,NA,7.88,14.43,6.81,6.72,6.69,13.46,8.5,NA,19.37,8.68,8.14,NA,NA,9.3,8.1,10.14,11.87,NA,NA,13.23,NA,11,NA,7.73,5.55,NA,16.49,8.99,9.7,13.57,10.16,NA,NA,7.79,7.41,11.77,8.64,NA,3,11.64,11.15,13.85,7.3,8.91,NA,13.07,NA
"J-rep3",NA,NA,NA,NA,17.81,15.21,NA,8.73,12.33,NA,NA,9.56,13.9,8.87,7.38,8.43,11.16,9.08,11.86,6.77,NA,NA,8.03,14.8,6.98,6.54,6.51,13.51,8.87,NA,NA,8.82,8.28,NA,NA,10.33,8.37,9.88,13.59,NA,NA,13.38,NA,12.2,14.06,7.59,5.5,NA,NA,9.27,9.67,13.09,NA,NA,NA,7.67,7.75,11.74,8.95,NA,3.01,13.1,11.45,12.98,7.19,9.46,NA,12.74,NA
"K-rep1",NA,NA,NA,NA,21.5,19.03,NA,9.13,11.69,15.46,NA,9.97,15.66,9.06,7.34,8.13,9.86,9.39,11.42,6.82,15.48,NA,8.08,14.66,7.28,6.62,6.56,14.34,8.87,NA,NA,8.8,8.61,19.47,14.03,10.13,8.23,10.24,11.12,NA,NA,14.27,NA,NA,NA,9.44,4.91,16.53,17.9,8.89,9.92,12.68,10.92,NA,NA,7.28,7.55,13.74,8.61,NA,4.15,NA,11.54,12.91,7.08,9.23,NA,15.63,16.11
"K-rep2",NA,NA,NA,NA,22.36,14.74,NA,9.29,12.66,19.72,NA,9.93,13.4,9.49,7.63,9.25,10.1,9.36,11.71,6.8,NA,NA,8.13,13.71,7.11,6.62,6.68,13.35,9.26,NA,NA,9.37,8.32,NA,NA,10.05,8.92,9.72,13.42,NA,NA,13.61,NA,NA,NA,9.89,5.22,17.83,18.88,9.37,10.53,13.38,10.44,NA,NA,7.77,7.76,12.85,8.78,20.6,4.24,NA,11.76,14.06,7.05,9.51,NA,NA,21.2
"K-rep3",NA,NA,NA,NA,18.89,16.67,NA,8.95,13.61,14.55,NA,10.03,NA,8.89,7.34,8.35,9.28,9.19,11.4,6.25,14.77,NA,7.75,15.97,7.21,6.46,6.2,14.24,9.05,NA,NA,8.94,7.83,11.25,12.25,9.52,8.37,10.04,NA,NA,NA,NA,NA,NA,NA,9.23,5.18,16.45,NA,9,10.24,13.05,10.06,NA,NA,7.41,7.64,NA,8.32,15.77,3.98,NA,11.18,NA,6.93,8.65,NA,12.88,NA
"L-rep1",8.39,NA,NA,NA,NA,13.64,NA,8.42,12.8,13.25,NA,8.98,NA,8.78,6.99,7.77,9.36,9.01,11,6.64,14.26,NA,7.39,14.38,6.33,6.35,6.19,12.94,8.82,NA,NA,7.51,8.21,13.22,NA,10.13,8.46,9.14,12.03,NA,NA,NA,NA,11.79,11.38,8.61,5.34,NA,NA,8.73,9.56,13.08,10.66,12.28,NA,6.97,7.35,11.09,8.24,19.38,2.47,17.38,12.05,NA,6.78,8.5,21.3,NA,NA
"L-rep2",NA,NA,NA,NA,NA,14.27,NA,9.17,12.75,13.36,NA,9.38,NA,8.9,7.14,7.85,9.7,9.08,11.33,6.73,NA,16.1,7.48,14.49,6.97,6.55,6.45,13.05,9.26,NA,NA,7.66,8.25,NA,NA,9.62,8.9,9.95,11.86,NA,22.29,NA,NA,NA,12.34,8.72,5.45,NA,17.74,9.06,9.68,14.04,NA,11.29,NA,7.23,7.2,11.77,8.25,NA,2.65,NA,11.85,NA,7.08,9.17,NA,NA,NA
"L-rep3",9.37,NA,NA,NA,NA,15.12,NA,8.38,14.39,13.21,NA,9.68,NA,9.06,7.3,8.01,10.49,9.35,11.64,6.88,15.28,15.99,7.3,15.86,7.13,6.55,6.6,14.25,9.33,NA,NA,7.97,8.28,13.23,NA,10.59,8.89,9.64,13.65,NA,21.66,NA,NA,12.62,13.74,8.61,5.77,NA,15.61,9.25,9.09,13.74,10.58,12.45,NA,7.44,7.49,NA,8.68,15.06,2.94,12.76,NA,NA,7.12,9.7,17.8,NA,NA
"M-rep1",8.49,NA,14.26,NA,18.65,13.23,NA,8.24,11.61,15.02,17.52,9.16,15.13,8.73,6.8,7.37,9.78,8.79,11.2,6.54,NA,15.25,8.02,13.53,7.25,6.26,6.21,12.68,8.8,NA,NA,7.32,8.31,NA,15.22,10.05,8.48,9.91,13.66,NA,NA,NA,NA,13.27,14.02,8.37,5.33,NA,NA,8.74,8.85,12.39,11.3,13.64,NA,7.23,7.39,12.53,8.31,NA,2.88,11.51,10.88,NA,6.77,9.06,NA,13.45,NA
"M-rep2",8.07,NA,15.51,NA,18.33,13.33,NA,8.94,12.32,14.26,NA,9.34,13.11,9.13,7.09,7.55,10.03,8.89,11.42,6.97,NA,15.54,7.73,14.38,6.91,6.47,6.36,12.17,8.97,NA,NA,7.78,8.38,NA,14.55,10.23,8.42,10.07,11.9,19.9,NA,NA,NA,12.51,14.05,8.44,5.62,NA,16.61,9.18,9.77,12.97,10.74,NA,NA,7.26,7.46,12.25,8.32,NA,3,13.78,12,NA,7.16,9.05,NA,NA,NA
"M-rep3",NA,NA,NA,NA,NA,13.24,NA,8.48,12.15,15.74,19.37,9.14,13.97,8.8,6.76,7.19,9.8,8.48,11.16,6.6,NA,13.14,7.5,13.3,7.31,6.33,6.05,12.31,8.89,NA,NA,7.54,8.32,NA,NA,9.7,8.74,9.34,12.08,21.46,NA,NA,NA,11.31,NA,8.51,5.4,NA,17.19,8.5,9.31,12.96,10.38,13.64,NA,7.36,7.39,11.42,8.2,NA,2.68,11.84,10.79,NA,7,9.17,NA,12.16,NA
"N-rep1",NA,NA,16.81,NA,21.43,20.7,NA,7.81,12.75,NA,NA,9.26,NA,8.82,7.24,7.86,10.17,8.98,11.75,6.89,NA,NA,7.28,15.61,7.62,6.42,6.45,13.19,8.99,NA,NA,7.77,8.53,NA,NA,9.95,8.64,10.24,11.87,NA,NA,14.96,NA,NA,23.61,8.96,5.86,NA,NA,8.92,9.36,12.02,11.53,NA,11.65,7.44,7.62,13.22,8.4,18.83,3.84,12.47,11.85,NA,7.15,9.7,NA,14.4,NA
"N-rep2",8.65,16.35,13.84,NA,17.26,15.04,NA,8.18,12.29,NA,NA,9.22,13.31,8.67,6.85,7.48,10.15,8.45,10.99,6.61,NA,14.06,7.26,NA,6.68,6.34,6.38,13.87,8.97,NA,NA,7.61,8.05,14.03,12.62,10.12,8.26,10.05,12.14,NA,NA,13.93,NA,11.81,14.64,9.08,5.53,NA,NA,8.78,9,12.09,10.38,NA,11.11,7.27,7.56,13.61,8.25,15.38,3.27,13.14,12.25,NA,6.93,9.75,19.55,NA,NA
"N-rep3",9.49,15.27,16.28,NA,18.93,18.75,NA,7.9,11.42,NA,NA,8.95,14.78,8.65,7.1,7.77,10.78,8.3,11.17,6.86,NA,15.12,7.41,13.81,6.89,6.13,6.32,12.78,8.78,NA,NA,8.07,8.32,16.52,14.77,9.71,8.22,9.7,11.57,NA,NA,13.78,NA,12.53,NA,8.27,5.52,NA,NA,8.42,8.88,12.15,10.75,NA,NA,7.29,7.73,13.3,8.15,17.39,3.48,13.46,12.82,NA,6.56,8.43,21.71,12.09,NA
