"","AY111","AY125","AY126","AY129","AY138","AY142","AY159","AY191","AY198","AY207","AY208","AY218","AY224","AY236","AY24","AY241","AY244","AY245","AY254","AY263","AY268","AY284","AY289","AY29","AY293","AY300","AY309","AY328","AY331","AY339","AY353","AY365","AY37","AY381","AY389","AY409","AY410","AY416","AY418","AY432","AY438","AY439","AY456","AY457","AY458","AY459","AY46","AY465","AY466","AY487","AY489","AY492","AY493","AY495","AY528","AY533","AY536","AY537","AY538","AY545","AY553","AY562","AY566","AY571","AY572","AY574","AY586","AY595","AY601"
"R-rep3",13.55,NA,18.53,NA,NA,18.68,NA,8.74,12.18,NA,NA,9.6,NA,9,7.23,7.72,11.76,9.04,12.1,7.4,15.68,13.36,8.65,15.2,8.37,6.42,6.8,13.83,9.41,14.68,NA,8.56,7.93,17.09,15.81,8.94,9.36,9.33,12.57,NA,NA,NA,NA,14.05,14.9,8.74,4.75,21.66,17.38,9.2,11.02,15.16,11.09,13.97,11.96,8.15,7.36,12.11,9.11,14.09,3.67,14.16,12.58,13.49,7.09,7.56,NA,NA,NA
"S-rep1",NA,15.98,NA,NA,19.89,12.57,NA,7.13,12.72,12.81,NA,9.1,NA,8.42,7.2,11.98,11.77,8.76,12.06,9.93,14.48,14.41,7.07,NA,6.94,4.41,9.09,12.71,8.47,10.99,12.51,6.5,7.33,19.41,NA,7.22,7.79,14.72,9.92,NA,NA,NA,6.88,13.26,11.19,10.47,8.79,14.92,NA,8.19,9.12,10.07,11.7,10.33,NA,9.32,8.72,20.91,9.74,13.47,1.96,14.04,NA,11.98,7.23,9.21,14.87,NA,NA
"S-rep2",13.64,NA,19.24,NA,17.64,13.83,22.32,7.78,16.12,12.75,NA,9.17,17.31,8.71,7.67,12.97,13.64,9.15,12.27,10.82,14.9,14.48,7.83,NA,7.23,4.99,9.87,14.35,8.83,12.1,12.61,6.82,7.69,NA,16.95,7.61,8.42,14.14,10.74,NA,NA,NA,NA,14.54,11.19,12.03,8.71,NA,NA,8.71,9.65,10.58,11.84,10.73,NA,10.04,9.64,NA,9.8,13.51,2.16,14.32,10.65,13.44,7.64,9.45,NA,NA,22.54
"S-rep3",13.23,17.12,17.18,NA,23.4,NA,21.24,7.67,13.47,12.98,NA,9.01,16.19,8.55,7.64,12.85,14.27,9.08,12.76,10.64,15.62,13.6,7.92,NA,6.99,4.9,9.58,13.29,8.77,12.49,12.98,6.95,7.56,19.5,16.97,7.76,8.11,13.59,10.84,NA,NA,NA,6.93,12.21,11.59,10.8,8.91,17.04,NA,8.66,9.95,10.58,11.06,10.76,NA,9.63,8.97,18.66,9.58,14.72,2.1,14.6,10.76,12.49,7.94,9.35,15,NA,16.77
"T-rep1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65,NA,-6.99,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.7,NA,NA,NA,NA,4.84,6.2,NA,NA,NA,NA,NA,NA,NA,NA,3.58,NA
"T-rep2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34,NA,-7.71,NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.64,NA,NA,NA,NA,7.76,0,NA,NA,NA,NA,NA,NA,NA,NA,4.95,NA
"T-rep3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46,NA,-7.41,NA,NA,NA,NA,NA,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.24,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"U-rep1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,NA,-7.79,NA,NA,NA,NA,NA,2.72,NA,NA,NA,4.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.14,NA,NA,NA,NA,1.48,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"U-rep2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.04,NA,-6.03,NA,NA,NA,NA,NA,5.39,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.55,NA,NA,NA,NA,4.16,3.04,NA,NA,3.23,NA,NA,NA,NA,NA,NA,NA
"U-rep3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.29,NA,NA,NA,NA,NA,2.12,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.44,NA,NA,NA,NA,2.27,1.53,NA,NA,7.36,NA,NA,NA,NA,NA,NA,NA
"A-rep1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
